empty,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,start,end
27.5,300,300,300,300,300,300,83,83,257,243,300,300,300,300,300,300,300,257,257,257,243,243,243,300,300
27.75,304,304,304,304,304,304,80,78,264,253,304,304,304,304,304,304,304,264,264,264,253,253,253,304,304
28.0,242,241,242,242,242,242,65,65,212,209,242,242,242,242,242,242,242,212,212,212,209,209,209,242,242
28.25,259,259,259,259,258,259,76,75,225,218,259,259,259,259,259,259,259,225,225,225,218,218,218,259,259
28.5,224,223,224,224,223,224,61,58,195,191,224,224,224,224,224,224,224,195,195,195,191,191,191,224,224
28.75,217,217,217,217,216,217,57,53,184,183,217,217,217,217,217,217,217,184,184,184,184,184,184,217,217
29.0,213,212,213,213,213,213,50,49,179,175,213,213,213,213,213,213,213,179,179,179,176,176,176,213,213
29.25,195,195,195,195,195,195,53,56,166,160,195,195,195,195,195,195,195,167,167,167,161,161,161,195,195
29.5,209,208,209,209,209,209,54,52,183,168,209,209,209,209,209,209,209,183,183,183,169,169,169,209,209
29.75,179,179,179,179,179,179,55,57,152,152,179,179,179,179,179,179,179,152,152,152,152,152,152,179,179
30.0,168,168,168,168,168,168,44,45,139,134,168,168,168,168,168,168,168,139,139,139,134,134,134,168,168
30.25,180,180,180,180,180,180,43,41,154,145,180,180,180,180,180,180,180,154,154,154,145,145,145,180,180
30.5,155,155,155,155,155,155,38,35,129,122,155,155,155,155,155,155,155,129,129,129,122,122,122,155,155
30.75,164,164,164,164,164,164,45,43,146,138,164,164,164,164,164,164,164,146,146,146,138,138,138,164,164
31.0,148,147,148,148,148,148,39,39,129,124,148,148,148,148,148,148,148,129,129,129,124,124,124,148,148
31.25,149,149,149,149,149,149,36,33,130,124,149,149,149,149,149,149,149,130,130,130,124,124,124,149,149
31.5,137,137,137,137,137,137,40,36,127,121,137,137,137,137,137,137,137,127,127,127,121,121,121,137,137
31.75,139,139,139,139,139,139,31,28,125,113,139,139,139,139,139,139,139,125,125,125,113,113,113,139,139
32.0,162,162,162,162,162,162,47,46,145,140,162,162,162,162,162,162,162,145,145,145,140,140,140,162,162
32.25,139,139,139,139,139,139,39,38,117,111,139,139,139,139,139,139,139,117,117,117,112,112,112,139,139
32.5,164,164,164,164,164,164,42,42,143,139,164,164,164,164,164,164,164,143,143,143,139,139,139,164,164
32.75,160,159,160,160,160,160,54,54,147,141,160,160,160,160,160,160,160,147,147,147,141,141,141,160,160
33.0,173,173,173,173,173,173,57,55,153,144,173,173,173,173,173,173,173,153,153,153,144,144,144,173,173
33.25,187,187,187,187,187,187,53,53,169,160,187,187,187,187,187,187,187,169,169,169,160,160,160,187,187
33.5,187,187,187,187,187,187,47,45,161,158,187,187,187,187,187,187,187,161,161,161,158,158,158,187,187
33.75,195,195,195,195,195,195,58,58,176,168,195,195,195,195,195,195,195,176,176,176,169,169,169,195,195
34.0,194,194,194,194,194,194,59,59,172,171,194,194,194,194,194,194,194,172,172,172,171,171,171,194,194
34.25,212,212,212,212,212,212,52,50,193,175,212,212,212,212,212,212,212,193,193,193,175,175,175,212,212
34.5,194,194,194,194,194,194,62,61,174,166,194,194,194,194,194,194,194,174,174,174,166,166,166,194,194
34.75,224,224,224,224,224,224,61,61,193,189,224,224,224,224,224,224,224,193,193,193,189,189,189,224,224
35.0,257,256,257,257,256,257,72,66,236,223,257,257,257,257,257,257,257,236,236,236,223,223,223,257,257
35.25,242,242,242,242,242,242,73,72,220,214,242,242,242,242,242,242,242,220,220,220,214,214,214,242,242
35.5,285,285,285,285,285,285,93,92,258,243,285,285,285,285,285,285,285,258,258,258,243,243,243,285,285
35.75,289,289,289,289,289,289,89,87,272,253,289,289,289,289,289,289,289,272,272,272,253,253,253,289,289
36.0,319,319,319,319,319,319,87,86,281,266,319,319,319,319,319,319,319,281,281,281,266,266,266,319,319
36.25,346,345,346,346,346,346,108,108,312,309,346,346,346,346,346,346,346,312,312,312,309,309,309,346,346
36.5,342,342,342,342,342,342,114,116,310,298,342,342,342,342,342,342,342,310,310,310,298,298,298,342,342
36.75,325,325,325,325,325,325,115,115,280,261,325,325,325,325,325,325,325,280,280,280,261,261,261,325,325
37.0,362,362,362,362,361,362,133,127,332,313,362,362,362,362,362,362,362,332,332,332,313,313,313,362,362
37.25,371,371,371,371,371,371,118,118,328,306,371,371,371,371,371,371,371,328,328,328,306,306,306,371,371
37.5,407,407,407,407,407,407,137,134,357,341,407,407,407,407,407,407,407,357,357,357,341,341,341,407,407
37.75,417,417,417,417,417,417,144,140,373,354,417,417,417,417,417,417,417,373,373,373,354,354,354,417,417
38.0,409,409,409,409,409,409,130,132,356,344,409,409,409,409,409,409,409,356,356,356,345,345,345,409,409
38.25,421,421,421,421,421,421,111,110,378,352,421,421,421,421,421,421,421,378,378,378,352,352,352,421,421
38.5,434,434,434,434,434,434,124,122,388,373,434,434,434,434,434,434,434,388,388,388,373,373,373,434,434
38.75,504,504,504,504,502,504,176,172,445,427,504,504,504,504,504,504,504,445,445,445,427,427,427,504,504
39.0,482,482,482,482,481,482,161,154,433,408,482,482,482,482,482,482,482,433,433,433,410,410,410,482,482
39.25,495,495,495,495,495,495,168,162,450,413,495,495,495,495,495,495,495,450,450,450,416,416,416,495,495
39.5,491,491,491,491,491,491,148,150,433,423,491,491,491,491,491,491,491,433,433,433,423,423,423,491,491
39.75,495,495,495,495,495,495,153,152,440,420,495,495,495,495,495,495,495,440,440,440,420,420,420,495,495
40.0,530,530,530,530,530,530,189,183,488,457,530,530,530,530,530,530,530,488,488,488,458,458,458,530,530
40.25,549,549,549,549,549,549,174,168,494,470,549,549,549,549,549,549,549,494,494,494,470,470,470,549,549
40.5,526,526,526,526,525,526,165,160,471,442,526,526,526,526,526,526,526,471,471,471,443,443,443,526,526
40.75,506,505,506,506,506,506,146,144,448,413,506,506,506,506,506,506,506,448,448,448,414,414,414,506,506
41.0,564,564,564,564,564,564,153,153,500,478,564,564,564,564,564,564,564,500,500,500,478,478,478,564,564
41.25,507,507,507,507,507,507,147,140,453,420,507,507,507,507,507,507,507,453,453,453,421,421,421,507,507
41.5,572,572,572,572,572,572,173,167,514,485,572,572,572,572,572,572,572,514,514,514,485,485,485,572,572
41.75,494,494,494,494,494,494,130,128,451,425,494,494,494,494,494,494,494,451,451,451,425,425,425,494,494
42.0,535,535,535,535,535,535,159,154,477,455,535,535,535,535,535,535,535,477,477,477,455,455,455,535,535
42.25,504,503,504,504,504,504,134,135,449,437,504,504,504,504,504,504,504,449,449,449,437,437,437,504,504
42.5,482,482,482,482,481,482,118,113,430,410,482,482,482,482,482,482,482,430,430,430,410,410,410,482,482
42.75,511,511,511,511,511,511,151,135,449,426,511,511,511,511,511,511,511,449,449,449,427,427,427,511,511
43.0,467,467,467,467,467,467,124,118,412,381,467,467,467,467,467,467,467,412,412,412,382,382,382,467,467
43.25,458,457,458,458,457,458,121,116,401,380,458,458,458,458,458,458,458,401,401,401,381,381,381,458,458
43.5,455,455,455,455,454,455,102,100,400,379,454,454,454,454,454,455,455,400,400,400,379,379,379,455,455
43.75,426,426,426,426,425,426,102,98,367,338,426,426,426,426,426,426,426,367,367,367,338,338,338,426,426
44.0,433,433,433,433,433,433,122,118,379,351,433,433,433,433,433,433,433,379,379,379,351,351,351,433,433
44.25,439,439,439,439,439,439,123,115,379,370,439,439,439,439,439,439,439,379,379,379,370,370,370,439,439
